VAR	TIER	TOTAL_FILES	TOTAL_REFS	TOP_FILES
SVG_ENGINE_PORT	t3	2	2	C:/aoe-unified-final/svg-engine/api/server.js|E:/BridgeAI/svg-engine/api/server.js
SYSTEM_HOST	t3	2	2	C:/aoe-unified-final/server.js|C:/aoe-unified-final/gateway.js
TELEGRAM_BOT_TOKEN	t1	2	2	C:/aoe-unified-final/lib/notify.js|C:/aoe-unified-final/lib/telegram-bot.js
TELEGRAM_CHAT_ID	t3	1	1	C:/aoe-unified-final/lib/notify.js
TERMINAL_PROXY_PORT	t3	1	1	C:/aoe-unified-final/terminal-proxy.js
TEST_WALLET_ADDRESS	t3	1	1	C:/aoe-unified-final/scripts/test-brdg-distribution.js
TOTP_ENCRYPTION_KEY	t0	1	1	C:/aoe-unified-final/lib/user-identity.js
TREASURY_ADDRESS	t3	2	2	C:/aoe-unified-final/scripts/deploy-brdg.js|C:/aoe-unified-final/scripts/deploy-contracts.js
TREASURY_PRIVATE_KEY	t0	2	4	C:/aoe-unified-final/lib/brdg-distributor.js|C:/aoe-unified-final/lib/eth-treasury.js
TVM_SECRET	t0	2	2	C:/aoe-unified-final/api/index.js|C:/aoe-unified-final/lib/tvm.js
VERCEL	t3	3	4	C:/aoe-unified-final/api/neurolink/routes.js|C:/aoe-unified-final/api/neurolink/multi-user-stream.js|C:/aoe-unified-final/api/neurolink/live-monetization-orchestrator.js
VERCEL_CRON_SECRET	t3	1	1	C:/aoe-unified-final/api/cron/auto-send.js
VERCEL_DEPLOYMENT_ID	t3	1	1	C:/aoe-unified-final/lib/zero-trust.js
VPS_HOST	t3	1	1	c:/aoe-unified-final-main/bridgeaios/THE-BRIDGE-AI-OS-V0/ecosystem.config.js
WEBHOOK_SECRET	t1	1	1	C:/aoe-unified-final/server.js
WITHDRAWAL_COOLDOWN_MINUTES	t2	1	1	C:/aoe-unified-final/lib/withdrawal-limits.js
WITHDRAWAL_DAILY_LIMIT	t2	1	1	C:/aoe-unified-final/lib/withdrawal-limits.js
WITHDRAWAL_LARGE_THRESHOLD	t2	1	1	C:/aoe-unified-final/lib/withdrawal-limits.js
WITHDRAWAL_MIN_AMOUNT	t2	1	1	C:/aoe-unified-final/lib/withdrawal-limits.js
WP_APP_PASSWORD	t1	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_BACKEND_URL	t3	1	1	C:/aoe-unified-final/server.js
WP_BRIDGE_AI_OS_APP_PASS	t1	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_BRIDGE_AI_OS_URL	t3	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_BRIDGE_AI_OS_USER	t3	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_COM_APP_PASS	t1	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_COM_URL	t3	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_COM_USER	t3	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_GATEWAY_APP_PASS	t1	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_GATEWAY_URL	t3	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_GATEWAY_USER	t3	1	1	C:/aoe-unified-final/lib/wordpress.js
WP_HOOK_SECRET	t1	2	2	C:/aoe-unified-final/lib/wp-auth.js|C:/aoe-unified-final/server.js
WP_URL	t3	1	1	C:/aoe-unified-final/gateway.js
WP_USERNAME	t3	1	1	C:/aoe-unified-final/lib/wordpress.js
YOUTUBE_API_KEY	t1	2	2	C:/aoe-unified-final/api/index.js|C:/aoe-unified-final/gateway.js
ZAPIER_WEBHOOK_SECRET	t1	1	1	C:/aoe-unified-final/api/webhook/secrets-sync.js
